canonical_name,product_count,functional_groups,mapping_evidence,mapped
정제수,224,,,False
글리세린,221,humectant,exact,True
"1,2-헥산다이올",200,humectant,exact,True
부틸렌글라이콜,192,humectant,exact,True
에틸헥실글리세린,162,,,False
판테놀,138,barrier|humectant|soothing,exact,True
카프릴릭/카프릭트라이글리세라이드,137,emollient,exact|keyword:emollient,True
토코페롤,135,active,exact|keyword:active,True
소듐하이알루로네이트,132,humectant,exact|keyword:humectant,True
나이아신아마이드,119,active,exact|keyword:active,True
프로판다이올,119,humectant,exact,True
하이드로제네이티드레시틴,117,barrier,exact|keyword:barrier,True
아데노신,115,active,exact|keyword:active,True
세테아릴알코올,111,emollient,exact,True
잔탄검,108,,,False
다이소듐이디티에이,101,,,False
세라마이드엔피,100,barrier,exact|keyword:barrier,True
글리세릴스테아레이트,95,emollient,exact,True
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,93,,,False
카보머,88,,,False
트로메타민,87,,,False
펜틸렌글라이콜,85,humectant,exact,True
알란토인,84,soothing,exact,True
솔비탄올리베이트,81,,,False
하이드롤라이즈드하이알루로닉애씨드,81,humectant,exact|keyword:humectant,True
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,78,,,False
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,78,,,False
세테아릴올리베이트,77,,,False
스쿠알란,75,barrier|emollient|occlusive,exact|keyword:emollient,True
솔비탄아이소스테아레이트,74,,,False
스테아릭애씨드,72,barrier,exact,True
다이프로필렌글라이콜,70,humectant,exact,True
알지닌,66,humectant,exact,True
카프릴릴글라이콜,65,humectant,exact,True
다이메티콘,64,occlusive|silicone,exact|keyword:occlusive|keyword:silicone,True
하이알루로닉애씨드,64,humectant,exact|keyword:humectant,True
비닐다이메티콘,58,occlusive|silicone,exact|keyword:occlusive|keyword:silicone,True
마데카소사이드,54,soothing,exact|keyword:soothing,True
베타인,54,humectant,exact,True
팔미틱애씨드,51,barrier,exact,True
병풀추출물,50,botanical_extract|soothing,exact|keyword:soothing|keyword:botanical_extract,True
소듐하이알루로네이트크로스폴리머,46,humectant,exact|keyword:humectant,True
아시아티코사이드,46,soothing,exact|keyword:soothing,True
하이드로제네이티드폴리데센,46,emollient|occlusive,exact|keyword:emollient|keyword:occlusive,True
베타-글루칸,45,barrier|humectant|soothing,exact|keyword:humectant,True
베헤닐알코올,45,emollient,exact,True
시트릭애씨드,45,,,False
콜레스테롤,45,barrier,exact|keyword:barrier,True
소듐아세틸레이티드하이알루로네이트,44,humectant,exact|keyword:humectant,True
시어버터,44,emollient|occlusive|oil_butter,exact|keyword:emollient|keyword:occlusive|keyword:oil_butter,True
해바라기씨오일,43,oil_butter,exact|keyword:oil_butter,True
마데카식애씨드,42,soothing,exact|keyword:soothing,True
아시아틱애씨드,42,soothing,exact|keyword:soothing,True
하이드록시아세토페논,42,,,False
향료,40,fragrance,exact|keyword:fragrance,True
세틸에틸헥사노에이트,38,emollient,exact|keyword:emollient,True
글루코오스,36,humectant,exact,True
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,36,,,False
다이포타슘글리시리제이트,36,soothing,exact|keyword:soothing,True
글리세릴카프릴레이트,35,,,False
폴리글리세릴-10라우레이트,35,,,False
폴리글리세릴-3메틸글루코오스다이스테아레이트,33,,,False
하이드록시프로필트라이모늄하이알루로네이트,33,humectant,exact|keyword:humectant,True
메틸프로판다이올,32,humectant,exact,True
소듐파이테이트,32,,,False
하이드로제네이티드폴리아이소부텐,32,emollient|occlusive,exact|keyword:emollient|keyword:occlusive,True
덱스트린,31,,,False
소듐스테아로일글루타메이트,31,,,False
다이카프릴릴카보네이트,30,emollient,exact|keyword:emollient,True
하이드롤라이즈드소듐하이알루로네이트,30,humectant,exact|keyword:humectant,True
병풀잎추출물,29,botanical_extract|soothing,exact|keyword:soothing|keyword:botanical_extract,True
세틸알코올,28,emollient,exact,True
피토스핑고신,28,barrier,exact|keyword:barrier,True
리모넨,27,fragrance,exact|keyword:fragrance,True
실리카,27,,,False
하이드로제네이티드폴리(C6-14올레핀),27,,,False
C12-20알킬글루코사이드,26,,,False
C14-22알코올,26,,,False
리날룰,26,fragrance,exact|keyword:fragrance,True
