feature_name,feature_block,description,skin_conditioned,direction,evidence_weight,source_id,source_url
skin_건성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
skin_민감성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
skin_복합성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
skin_약건성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
skin_중성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
skin_지성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
skin_트러블성,skin_type,피부유형 One-hot,True,model_learns,,review skin type,
v3_count_humectant,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_emollient,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_occlusive,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_barrier,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_soothing,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_active,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_fragrance,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_acid_exfoliant,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_silicone,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_peptide,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_botanical_extract,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v3_count_oil_butter,V3_function_count,제품에 포함된 해당 기능군의 고유 성분 개수,False,model_learns,,V3 functional ingredient mapping,
v4_sensory_count_light_ester,sensory_base,light_ester 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_volatile_silicone,sensory_base,volatile_silicone 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_nonvolatile_silicone,sensory_base,nonvolatile_silicone 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_hydrocarbon_occlusive,sensory_base,hydrocarbon_occlusive 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_fatty_alcohol,sensory_base,fatty_alcohol 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_plant_oil,sensory_base,plant_oil 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_wax_butter,sensory_base,wax_butter 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_sensory_count_essential_oil,sensory_base,essential_oil 감각 처방군의 고유 성분 개수,False,model_learns,,PMID:16116522; PMID:22085371,https://pubmed.ncbi.nlm.nih.gov/16116522/
v4_has_niacinamide,ingredient_presence_order,나이아신아마이드 포함 여부,False,model_learns,,ingredient list,
v4_niacinamide_top10,ingredient_presence_order,나이아신아마이드 상위 10성분 표기 여부,False,model_learns,,ingredient list,
