product_id,product_name_raw,product_name_clean,강조문구_1,강조문구_2,강조문구_3,clean_predict,raw_predict
A000000260257,[7/21하루특가][대용량 기획] 제로이드 수딩 크림 80ml 기획 (+50ml),제로이드 수딩 크림,진정·시카·민감,,,진정·시카·민감(수딩),
A000000226553,[수부지크림/유수분밸런스] 브링그린 티트리 시카 수딩 크림 플러스 100ml (2입/단품),브링그린 티트리 시카 수딩 크림 플러스 ( / ),진정·시카·민감,,,"진정·시카·민감(시카,수딩)",
A000000192782,[1+1/1등 모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블기획,에스네이처 아쿠아 스쿠알란 수분크림,수분·수부지·아쿠아,,,"수분·수부지·아쿠아(수분,아쿠아)",
A000000233337,[수분진정/광채캡슐크림] 션리 다시마 글레이즈드 크림 50g,션리 다시마 글레이즈드 크림,수분·수부지·아쿠아,진정·시카·민감,미백·잡티·톤업,,수분·수부지·아쿠아(수분); 진정·시카·민감(진정); 미백·잡티·톤업(광채)
A000000253592,"[흔적,기미,미백/TXA] 셀리맥스 트라넥삼산 잡티 크림 35ml 기획 (+14ml)",셀리맥스 트라넥삼산 잡티 크림,미백·잡티·톤업,,,미백·잡티·톤업(잡티),
A000000222833,[2025어워즈1위] 에스트라 아토베리어365 크림 80ml 기획 (+하이드로 에센스25ml+앰플7ml),에스트라 아토베리어365 크림 ( 하이드로 에센스25ml 앰플7ml),수분·수부지·아쿠아,보습·장벽·리페어,,"수분·수부지·아쿠아(하이드로); 보습·장벽·리페어(베리어,아토)",
A000000258834,[7월 올영픽] 에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g),에스트라 아토베리어365 하이드로 수딩크림 ( 수딩크림 클렌징폼 ),수분·수부지·아쿠아,보습·장벽·리페어,진정·시카·민감,"수분·수부지·아쿠아(하이드로); 보습·장벽·리페어(베리어,아토); 진정·시카·민감(수딩)",
A000000258214,[위클리초특가/-8.1도 즉각쿨링/슬러시젤크림] 믹순 히알레배 포어 워터풀 젤크림 60ML,믹순 히알레배 포어 워터풀 젤크림,수분·수부지·아쿠아,피지·모공·트러블,,수분·수부지·아쿠아(워터); 피지·모공·트러블(포어),
A000000255752,[7월올영픽] 닥터지 레드블레미쉬 클리어 수딩크림 EX 70ml기획 (+30ml+세럼10ml*2ea),닥터지 레드블레미쉬 클리어 수딩크림 EX 70ml ( 세럼10ml* ),진정·시카·민감,피지·모공·트러블,,"진정·시카·민감(수딩,레드,블레미쉬); 피지·모공·트러블(블레미쉬)",
A000000206904,[손상장벽집중케어] 라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),라로슈포제 시카플라스트 밤 B5,진정·시카·민감,,,진정·시카·민감(시카),
A000000255244,[총200ml/대용량] 라운드랩 자작나무 수분 크림 80ml+80ml 더블 기획 (+40ml),라운드랩 자작나무 수분 크림,수분·수부지·아쿠아,,,수분·수부지·아쿠아(수분),
