테마,제품수,product_name_raw,product_name_clean
진정·시카·민감,81,[7/21하루특가][대용량 기획] 제로이드 수딩 크림 80ml 기획 (+50ml),제로이드 수딩 크림
,,[수부지크림/유수분밸런스] 브링그린 티트리 시카 수딩 크림 플러스 100ml (2입/단품),브링그린 티트리 시카 수딩 크림 플러스 ( / )
,,[수분진정/광채캡슐크림] 션리 다시마 글레이즈드 크림 50g,션리 다시마 글레이즈드 크림
,,[7월 올영픽] 에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g),에스트라 아토베리어365 하이드로 수딩크림 ( 수딩크림 클렌징폼 )
,,[7월올영픽] 닥터지 레드블레미쉬 클리어 수딩크림 EX 70ml기획 (+30ml+세럼10ml*2ea),닥터지 레드블레미쉬 클리어 수딩크림 EX 70ml ( 세럼10ml* )
,,[손상장벽집중케어] 라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),라로슈포제 시카플라스트 밤 B5
,,[수분충전/쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),에스네이처 아쿠아 오아시스 수분 젤크림 ( 카밍패드 )
,,[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml (+시카에센스 7.5ml),라로슈포제 시카플라스트 멀티 리페어 크림 ( 시카에센스 )
,,토리든 다이브인 저분자 히알루론산 수딩 크림 100ml 2입 기획,토리든 다이브인 저분자 히알루론산 수딩 크림
,,[수분진정/단독기획] 메이크프렘 인테카 수딩크림 70ml 기획(+크림 31ml),메이크프렘 인테카 수딩크림 ( 크림 )
,,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),바이오더마 시카비오 포마드 (리페어 리치 밤)
,,[7월 올영픽] 에스트라 에이시카365 리페어 크림 pH4.5 60ml (+크림 20ml+마스크 2매),에스트라 에이시카365 리페어 크림 pH4.5 ( 크림 마스크 )
,,[1+1] 한율 트러블 진정 쑥시카 수분 크림 기획 (55ml+55ml),한율 트러블 진정 쑥시카 수분 크림
,,[NEW] 토리든 다이브인 저분자 히알루론산 수딩 크림 100ml 더블 기획 (크림 20ml+세럼 20ml),토리든 다이브인 저분자 히알루론산 수딩 크림 (크림 세럼 )
,,[튜브타입/단독기획] 닥터지 레드 블레미쉬 클리어 수딩크림 EX 70ml 튜브 기획 (+30ml+세럼10ml*2ea),닥터지 레드 블레미쉬 클리어 수딩크림 EX 튜브 ( 세럼10ml* )
,,[손상장벽MD] 동국제약 마데카셀 베리어 엠디 크림 70g,동국제약 마데카셀 베리어 엠디 크림
,,[NEW/리뷰이벤트] 비욘드 엔젤 아쿠아 이온 히알루10% 수분 진정 크림 100ml 1+1 기획,비욘드 엔젤 아쿠아 이온 히알루10% 수분 진정 크림
