thema,canonical_name,제품에_함유된_개수,테마별_전체_제품수,함유비율
기타/강조문구 약함,정제수,24,24,1.0
기타/강조문구 약함,글리세린,22,24,0.917
기타/강조문구 약함,부틸렌글라이콜,19,24,0.792
기타/강조문구 약함,"1,2-헥산다이올",19,24,0.792
기타/강조문구 약함,프로판다이올,16,24,0.667
기타/강조문구 약함,에틸헥실글리세린,14,24,0.583
기타/강조문구 약함,나이아신아마이드,13,24,0.542
기타/강조문구 약함,카프릴릭/카프릭트라이글리세라이드,13,24,0.542
기타/강조문구 약함,토코페롤,13,24,0.542
기타/강조문구 약함,소듐하이알루로네이트,12,24,0.5
기타/강조문구 약함,아데노신,12,24,0.5
기타/강조문구 약함,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,12,24,0.5
기타/강조문구 약함,판테놀,11,24,0.458
기타/강조문구 약함,카보머,11,24,0.458
기타/강조문구 약함,잔탄검,11,24,0.458
기타/강조문구 약함,글리세릴스테아레이트,11,24,0.458
기타/강조문구 약함,세테아릴알코올,10,24,0.417
기타/강조문구 약함,카프릴릴글라이콜,10,24,0.417
기타/강조문구 약함,하이드롤라이즈드하이알루로닉애씨드,10,24,0.417
기타/강조문구 약함,다이메티콘,10,24,0.417
기타/강조문구 약함,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,10,24,0.417
기타/강조문구 약함,다이소듐이디티에이,9,24,0.375
기타/강조문구 약함,솔비탄올리베이트,9,24,0.375
기타/강조문구 약함,하이드로제네이티드레시틴,9,24,0.375
기타/강조문구 약함,트로메타민,9,24,0.375
기타/강조문구 약함,하이드로제네이티드폴리데센,7,24,0.292
기타/강조문구 약함,알지닌,7,24,0.292
기타/강조문구 약함,세테아릴올리베이트,7,24,0.292
기타/강조문구 약함,스쿠알란,7,24,0.292
기타/강조문구 약함,스테아릭애씨드,7,24,0.292
기타/강조문구 약함,폴리메틸실세스퀴옥세인,7,24,0.292
기타/강조문구 약함,향료,7,24,0.292
기타/강조문구 약함,다이메티콘올,7,24,0.292
